date;maxClose;minClose;rangeHigh;rangeLow;rangeWidth;signalCount;type2;maxProfit;minProfit;safeMinProfit;signalCountGroup;rangeWidthGroup
2012-01-04;412.3712;409.25;411.68;405;0.0164938272;4;1;0.001678974;-0.0059026428;0;1;4
2012-01-05;414.49;412.86;411.55;409.28;0.0055463253;12;1;0.0071437249;0.0031830883;1;2;1
2012-01-06;418.38;415.75;415.62;412.67;0.0071485691;22;1;0.0066406814;0.0003127857;1;3;1
2012-01-09;422.59;421.32;421.47;419.22;0.0053671103;26;1;0.0026573659;-0.0003558972;0;3;1
2012-01-10;426.68;421.62;426.77;422.31;0.0105609623;8;1;-0.0002108864;-0.0120673899;0;2;3
2012-01-18;425.9;423.21;425.19;423.4;0.0042276807;4;1;0.0016698417;-0.0046567417;0;1;1
2012-01-19;429.3;428.08;428.08;426.3;0.0041754633;22;1;0.0028499346;0;0;3;1
2012-01-20;427.63;427.63;431.369;428.2;0.0074007473;32;0;0.0013311537;0.0013311537;1;4;2
2012-01-23;421.98;420.12;427.63;423.12;0.0106589147;29;0;0.0070901872;0.0026942711;1;4;3
2012-01-25;423.12;419.65;427.56;423.16;0.0103979582;29;0;0.0082947349;0;0;4;2
2012-01-27;445.3201;443.25;448.79;445.88;0.0065264197;16;0;0.005898448;0.001255719;1;2;1
2012-01-30;447.89;447.43;447.2;443.77;0.0077292291;37;1;0.0015429338;0.0005143113;1;4;2
2012-01-31;453.6975;449.67;448.68;445.39;0.0073867846;3;1;0.0111828029;0.0022064723;1;1;1
2012-02-03;455.17;453.99;457.17;455.14;0.0044601661;15;0;0.0025266951;0;0;2;1
2012-02-06;459.93;458.06;457.45;455.12;0.0051195289;4;1;0.0054213575;0.0013334791;1;1;1
2012-02-07;464.85;462.28;461.28;458.201;0.0067197584;6;1;0.007739334;0.0021678807;1;1;1
2012-02-08;469.56;467.49;466.9;464.581;0.0049915946;12;1;0.0056971514;0.0012636539;1;2;1
2012-02-09;476.67;470.9636;473;469.7;0.0070257611;3;1;0.0077589852;-0.0043052854;0;1;1
2012-02-10;496.18;488.44;486.02;480.55;0.0113827906;10;1;0.0209044895;0.004979219;1;2;3
2012-02-15;509.42;506.924;505.23;502;0.0064342629;47;1;0.0082932526;0.0033529284;1;4;1
2012-02-16;526.08;497.38;518.55;509.41;0.0179423254;11;1;0.0145212612;-0.0408253785;0;2;4
2012-02-17;504.39;499.82;497.69;486.63;0.0227277398;38;1;0.0134621953;0.0042797725;1;4;4
2012-02-21;503.12;500.4501;507.77;501.7;0.0120988639;35;0;0.0024913295;-0.0028303767;0;4;3
2012-02-22;514.65;506.82;507.68;502.12;0.0110730503;7;1;0.0137291207;-0.0016939805;0;1;3
2012-02-24;517.322;511.029;516.22;511.4823;0.0092626861;14;1;0.0021347488;-0.0100557902;0;2;2
2012-02-27;522.82;520.2777;521.1;516.39;0.0091210132;25;1;0.00330071;-0.0015780081;0;3;2
2012-02-28;528.1885;523.61;522.41;516.28;0.011873402;15;1;0.0110612354;0.0022970464;1;2;3
2012-02-29;535.41;531.5;531;525.76;0.0099665247;7;1;0.0083050847;0.0009416196;1;1;2
2012-03-02;544.54;540.64;548.21;541.3;0.0127655644;16;0;0.0012192869;-0.0059855902;0;3;3
2012-03-05;545.6;544.2027;545.21;542.52;0.0049583425;16;1;0.0007153207;-0.001847545;0;3;1
